"sample.names";"species";"type";"kit";"preparation";"n_elution";"group";"num";"DNAconcentration";"sequenced";"exp"
"exp1_PowerSoil-eau-1elu-1";"BCC";"sample";"PowerSoil Pro";"water";"1";"PS_water_1";"1";262;FALSE;"1"
"exp1_PowerSoil-eau-1elu-2";"BCC";"sample";"PowerSoil Pro";"water";"1";"PS_water_1";"2";206;FALSE;"1"
"exp1_PowerSoil-eau-1elu-3";"BCC";"sample";"PowerSoil Pro";"water";"1";"PS_water_1";"3";360;FALSE;"1"
"exp1_PowerSoil-eau-1elu-4";"BCC";"sample";"PowerSoil Pro";"water";"1";"PS_water_1";"4";110;FALSE;"1"
"exp1_PowerSoil-eau-1elu-5";"BCC";"sample";"PowerSoil Pro";"water";"1";"PS_water_1";"5";163;TRUE;"1"
"exp1_PowerSoil-eau-1elu-6";"BCC";"sample";"PowerSoil Pro";"water";"1";"PS_water_1";"6";364;FALSE;"1"
"exp1_PowerSoil-eau-1elu-7";"BCC";"sample";"PowerSoil Pro";"water";"1";"PS_water_1";"7";288;TRUE;"1"
"exp1_PowerSoil-eau-1elu-8";"BCC";"sample";"PowerSoil Pro";"water";"1";"PS_water_1";"8";182;FALSE;"1"
"exp1_PowerSoil-eau-1elu-9";"BCC";"sample";"PowerSoil Pro";"water";"1";"PS_water_1";"9";438;TRUE;"1"
"exp1_PowerSoil-eau-1elu-10";"BCC";"sample";"PowerSoil Pro";"water";"1";"PS_water_1";"10";384;TRUE;"1"
"exp1_PowerSoil-eau-1elu-11";"BCC";"sample";"PowerSoil Pro";"water";"1";"PS_water_1";"11";356;TRUE;"1"
"exp1_PowerSoil-eau-1elu-12";"BCC";"sample";"PowerSoil Pro";"water";"1";"PS_water_1";"12";75,6;FALSE;"1"
"exp1_PowerSoil-eau-1elu-13";"BCC";"sample";"PowerSoil Pro";"water";"1";"PS_water_1";"13";234;FALSE;"1"
"exp1_PowerSoil-eau-1elu-14";"BCC";"sample";"PowerSoil Pro";"water";"1";"PS_water_1";"14";171;FALSE;"1"
"exp1_PowerSoil-eau-1elu-15";"BCC";"sample";"PowerSoil Pro";"water";"1";"PS_water_1";"15";408;FALSE;"1"
"exp1_PowerSoil-eau-1elu-B";"BCC";"ctrl";"PowerSoil Pro";"water";"1";"PS_water_1";"negative";5;FALSE;"1"
